obsv_name_nm,sdnm_nm,sgnm_nm,sggnm_nm,umdnm_nm,ri_nm,decdt_dt,lev_hg,decrst_cn
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-02,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-09,18.568,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-07,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-01,18.118,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-14,18.118,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-10,18.295,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-05,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-15,18.118,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-11,18.568,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-04,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-12,18.295,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-16,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-03,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-06,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-08,18.118,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-13,18.295,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-29,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-18,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-25,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-21,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-22,17.868,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-30,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-20,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-23,17.868,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-24,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-19,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-31,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-27,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-26,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-28,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-08-17,17.981,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-08-02,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-08-09,1.990,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-08-07,0.362,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-08-01,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-08-14,1.573,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-08-10,2.493,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-08-05,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-08-15,1.205,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-08-11,2.493,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-08-04,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-08-12,1.990,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-08-16,1.030,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-08-03,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-08-06,0.280,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-08-08,0.481,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-08-13,1.990,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-08-29,0.402,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-08-18,0.800,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-08-25,0.559,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-08-21,0.638,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-08-22,0.599,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-08-30,0.402,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-08-20,0.678,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-08-23,0.559,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-08-24,0.599,정상
